run,algo_name,sample_cost_fixed,label_cost_fixed,eps,thresh,tau_prime,f_0,policy,sample_cost,label_cost,eo_diff_est,eo_diff_true,num_samples,true_fair,pred_fair
1,exp,0.5,0.25,0.3,0.5,97.29030020420045,LR,full_data,57.5,16.5,0.08069940735808412,0.07020571622379634,393,1,1
1,exp,0,1,0.3,0.5,97.29030020420045,LR,full_data,0,79,0.0806653154302584,0.07020571622379634,378,1,1
1,exp,0.5,1,0.3,0.5,97.29030020420045,LR,full_data,53.0,62,0.07845796509152525,0.07020571622379634,400,1,1
1,exp,0.5,0.25,0.2,0.4,97.29030020420045,LR,full_data,56.5,17.75,0.0816493787460032,0.07020571622379634,889,1,1
1,exp,0,1,0.2,0.4,97.29030020420045,LR,full_data,0,75,0.0799725930043626,0.07020571622379634,871,1,1
1,exp,0.5,1,0.2,0.4,97.29030020420045,LR,full_data,52.0,66,0.07921171821920958,0.07020571622379634,877,1,1
1,exp,0.5,0.25,0.1,0.0,97.29030020420045,LR,full_data,56.5,17.25,0.07990356041700697,0.07020571622379634,2271,1,0
1,exp,0,1,0.1,0.0,97.29030020420045,LR,full_data,0,61,0.08365216320315394,0.07020571622379634,2224,1,0
1,exp,0.5,1,0.1,0.0,97.29030020420045,LR,full_data,70.5,75,0.0801225553415576,0.07020571622379634,2277,1,0
1,exp,0.5,0.25,0.05,0.0,97.29030020420045,LR,full_data,62.0,16.25,0.08048009752625357,0.07020571622379634,2242,0,0
1,exp,0,1,0.05,0.0,97.29030020420045,LR,full_data,0,70,0.07918443197029429,0.07020571622379634,2216,0,0
1,exp,0.5,1,0.05,0.0,97.29030020420045,LR,full_data,54.5,60,0.0780529999285024,0.07020571622379634,2282,0,0
