run,algo_name,sample_cost_fixed,label_cost_fixed,eps,thresh,tau_prime,f_0,policy,sample_cost,label_cost,eo_diff_est,eo_diff_true,num_samples,true_fair,pred_fair
1,exp,0.5,0.25,0.3,0.5,97.29030020420045,LR,full_data,26.5,9.0,0.5572217714401332,0.15150802976889932,385,1,1
1,exp,0,1,0.3,0.5,97.29030020420045,LR,full_data,0,29,0.5177437956031512,0.15150802976889932,394,1,1
1,exp,0.5,1,0.3,0.5,97.29030020420045,LR,full_data,20.0,26,0.564911575042155,0.15150802976889932,381,1,1
1,exp,0.5,0.25,0.2,0.4,97.29030020420045,LR,full_data,21.5,5.25,0.4963687071888545,0.15150802976889932,889,1,1
1,exp,0,1,0.2,0.4,97.29030020420045,LR,full_data,0,33,0.4501093588452829,0.15150802976889932,882,1,1
1,exp,0.5,1,0.2,0.4,97.29030020420045,LR,full_data,22.5,30,0.42926513302497893,0.15150802976889932,886,1,1
1,exp,0.5,0.25,0.1,0.0,97.29030020420045,LR,full_data,19.5,6.5,0.4051375191059796,0.15150802976889932,2246,0,0
1,exp,0,1,0.1,0.0,97.29030020420045,LR,full_data,0,31,0.5583596509431377,0.15150802976889932,2298,0,0
1,exp,0.5,1,0.1,0.0,97.29030020420045,LR,full_data,17.0,24,0.5843843274070939,0.15150802976889932,2267,0,0
1,exp,0.5,0.25,0.05,0.0,97.29030020420045,LR,full_data,26.5,9.75,0.5534785841674463,0.15150802976889932,2250,0,0
1,exp,0,1,0.05,0.0,97.29030020420045,LR,full_data,0,39,0.49439469445984274,0.15150802976889932,2273,0,0
1,exp,0.5,1,0.05,0.0,97.29030020420045,LR,full_data,21.0,31,0.5493234433168601,0.15150802976889932,2273,0,0
1,exp,0.5,0.25,0.01,0.0,97.29030020420045,LR,full_data,21.0,6.25,0.5080590305904574,0.15150802976889932,2273,0,0
1,exp,0,1,0.01,0.0,97.29030020420045,LR,full_data,0,37,0.6626851321237691,0.15150802976889932,2298,0,0
1,exp,0.5,1,0.01,0.0,97.29030020420045,LR,full_data,24.0,29,0.7399680166334942,0.15150802976889932,2273,0,0
2,exp,0.5,0.25,0.3,0.5,97.29030020420045,LR,full_data,23.5,8.5,13.45957834912918,0.23332227016262863,395,1,0
2,exp,0,1,0.3,0.5,97.29030020420045,LR,full_data,0,30,12.797379427399898,0.23332227016262863,400,1,0
2,exp,0.5,1,0.3,0.5,97.29030020420045,LR,full_data,27.5,36,11.775352754783842,0.23332227016262863,384,1,0
2,exp,0.5,0.25,0.2,0.4,97.29030020420045,LR,full_data,22.5,8.5,11.737840622603402,0.23332227016262863,890,1,0
2,exp,0,1,0.2,0.4,97.29030020420045,LR,full_data,0,34,11.859061142138744,0.23332227016262863,908,1,0
2,exp,0.5,1,0.2,0.4,97.29030020420045,LR,full_data,25.0,28,11.634297996850215,0.23332227016262863,885,1,0
2,exp,0.5,0.25,0.1,0.0,97.29030020420045,LR,full_data,22.5,8.5,12.002144569150122,0.23332227016262863,2266,0,0
2,exp,0,1,0.1,0.0,97.29030020420045,LR,full_data,0,32,12.153984130694472,0.23332227016262863,2263,0,0
