run,algo_name,sample_cost_fixed,label_cost_fixed,eps,thresh,tau_prime,f_0,policy,sample_cost,label_cost,eo_diff_est,eo_diff_true,num_samples,true_fair,pred_fair
1,exp,0.5,0.25,0.3,0.5,97.29030020420045,LR,full_data,73.5,27.0,0.14780342591642504,0.021772931286474062,395,1,1
1,exp,0,1,0.3,0.5,97.29030020420045,LR,full_data,0,107,0.12078868313281899,0.021772931286474062,387,1,1
1,exp,0.5,1,0.3,0.5,97.29030020420045,LR,full_data,78.5,123,0.1357626017806426,0.021772931286474062,399,1,1
1,exp,0.5,0.25,0.2,0.4,97.29030020420045,LR,full_data,68.5,28.0,0.150878587846629,0.021772931286474062,893,1,1
1,exp,0,1,0.2,0.4,97.29030020420045,LR,full_data,0,104,0.12460281943707574,0.021772931286474062,879,1,1
1,exp,0.5,1,0.2,0.4,97.29030020420045,LR,full_data,79.5,128,0.1393244924664767,0.021772931286474062,888,1,1
1,exp,0.5,0.25,0.1,0.0,97.29030020420045,LR,full_data,79.5,28.5,0.13583678974173274,0.021772931286474062,2224,1,0
1,exp,0,1,0.1,0.0,97.29030020420045,LR,full_data,0,116,0.1442204673011196,0.021772931286474062,2271,1,0
1,exp,0.5,1,0.1,0.0,97.29030020420045,LR,full_data,67.5,100,0.12797908282466275,0.021772931286474062,2256,1,0
1,exp,0.5,0.25,0.05,0.0,97.29030020420045,LR,full_data,72.0,27.25,0.14378752915123139,0.021772931286474062,2250,1,0
1,exp,0,1,0.05,0.0,97.29030020420045,LR,full_data,0,112,0.1382408104968892,0.021772931286474062,2246,1,0
1,exp,0.5,1,0.05,0.0,97.29030020420045,LR,full_data,68.5,100,0.1266642464621608,0.021772931286474062,2263,1,0
1,exp,0.5,0.25,0.01,0.0,97.29030020420045,LR,full_data,73.0,28.75,0.14743789677489605,0.021772931286474062,2243,0,0
1,exp,0,1,0.01,0.0,97.29030020420045,LR,full_data,0,112,0.16517361210940706,0.021772931286474062,2245,0,0
1,exp,0.5,1,0.01,0.0,97.29030020420045,LR,full_data,72.0,109,0.13140340287876273,0.021772931286474062,2238,0,0
2,exp,0.5,0.25,0.3,0.5,97.29030020420045,LR,full_data,68.0,25.0,0.21969379192758876,0.044370308590492055,381,1,1
2,exp,0,1,0.3,0.5,97.29030020420045,LR,full_data,0,102,0.26304090245370026,0.044370308590492055,381,1,1
2,exp,0.5,1,0.3,0.5,97.29030020420045,LR,full_data,62.5,99,0.23469321110540486,0.044370308590492055,391,1,1
2,exp,0.5,0.25,0.2,0.4,97.29030020420045,LR,full_data,73.5,29.5,0.22819465311083387,0.044370308590492055,874,1,1
2,exp,0,1,0.2,0.4,97.29030020420045,LR,full_data,0,112,0.23158268069310506,0.044370308590492055,864,1,1
2,exp,0.5,1,0.2,0.4,97.29030020420045,LR,full_data,67.0,101,0.22434990924681797,0.044370308590492055,882,1,1
2,exp,0.5,0.25,0.1,0.0,97.29030020420045,LR,full_data,79.0,29.5,0.24459307280801545,0.044370308590492055,2260,1,0
2,exp,0,1,0.1,0.0,97.29030020420045,LR,full_data,0,109,0.25853630983919906,0.044370308590492055,2232,1,0
2,exp,0.5,1,0.1,0.0,97.29030020420045,LR,full_data,75.0,112,0.25831020406973426,0.044370308590492055,2231,1,0
2,exp,0.5,0.25,0.05,0.0,97.29030020420045,LR,full_data,68.5,26.5,0.2416440339133803,0.044370308590492055,2279,1,0
2,exp,0,1,0.05,0.0,97.29030020420045,LR,full_data,0,116,0.23190801106335557,0.044370308590492055,2263,1,0
2,exp,0.5,1,0.05,0.0,97.29030020420045,LR,full_data,73.5,112,0.22874396317490964,0.044370308590492055,2271,1,0
2,exp,0.5,0.25,0.01,0.0,97.29030020420045,LR,full_data,71.5,28.0,0.22383740032364963,0.044370308590492055,2247,0,0
2,exp,0,1,0.01,0.0,97.29030020420045,LR,full_data,0,114,0.2640108625777059,0.044370308590492055,2264,0,0
2,exp,0.5,1,0.01,0.0,97.29030020420045,LR,full_data,82.0,116,0.21206207077276784,0.044370308590492055,2235,0,0
3,exp,0.5,0.25,0.3,0.5,97.29030020420045,LR,full_data,68.5,24.75,0.5858160841801291,0.11932153392330384,386,1,1
3,exp,0,1,0.3,0.5,97.29030020420045,LR,full_data,0,109,0.5867278541006213,0.11932153392330384,390,1,1
3,exp,0.5,1,0.3,0.5,97.29030020420045,LR,full_data,78.5,117,0.5782134754656336,0.11932153392330384,396,1,1
3,exp,0.5,0.25,0.2,0.4,97.29030020420045,LR,full_data,78.0,28.25,0.5438485940273031,0.11932153392330384,886,1,0
3,exp,0,1,0.2,0.4,97.29030020420045,LR,full_data,0,115,0.6004071006568029,0.11932153392330384,884,1,0
3,exp,0.5,1,0.2,0.4,97.29030020420045,LR,full_data,68.5,110,0.562029766630631,0.11932153392330384,887,1,0
3,exp,0.5,0.25,0.1,0.0,97.29030020420045,LR,full_data,77.5,28.5,0.5861261830349779,0.11932153392330384,2261,0,0
3,exp,0,1,0.1,0.0,97.29030020420045,LR,full_data,0,100,0.5589844161353655,0.11932153392330384,2251,0,0
3,exp,0.5,1,0.1,0.0,97.29030020420045,LR,full_data,66.0,110,0.5615650451109268,0.11932153392330384,2260,0,0
3,exp,0.5,0.25,0.05,0.0,97.29030020420045,LR,full_data,70.5,26.75,0.6053994922208354,0.11932153392330384,2262,0,0
3,exp,0,1,0.05,0.0,97.29030020420045,LR,full_data,0,104,0.6023408803522019,0.11932153392330384,2278,0,0
3,exp,0.5,1,0.05,0.0,97.29030020420045,LR,full_data,71.0,104,0.6159650648357942,0.11932153392330384,2266,0,0
3,exp,0.5,0.25,0.01,0.0,97.29030020420045,LR,full_data,78.5,26.5,0.5399915665310094,0.11932153392330384,2240,0,0
3,exp,0,1,0.01,0.0,97.29030020420045,LR,full_data,0,120,0.6104908273626682,0.11932153392330384,2257,0,0
3,exp,0.5,1,0.01,0.0,97.29030020420045,LR,full_data,74.0,109,0.5509538764444355,0.11932153392330384,2239,0,0
4,exp,0.5,0.25,0.3,0.5,97.29030020420045,LR,full_data,82.0,29.75,0.0938540526868965,0.05100896933129628,386,1,1
4,exp,0,1,0.3,0.5,97.29030020420045,LR,full_data,0,119,0.08315499148159655,0.05100896933129628,385,1,1
4,exp,0.5,1,0.3,0.5,97.29030020420045,LR,full_data,80.0,129,0.08537600222461394,0.05100896933129628,392,1,1
4,exp,0.5,0.25,0.2,0.4,97.29030020420045,LR,full_data,73.0,27.75,0.08668396197753303,0.05100896933129628,877,1,1
4,exp,0,1,0.2,0.4,97.29030020420045,LR,full_data,0,120,0.08989068140290846,0.05100896933129628,858,1,1
4,exp,0.5,1,0.2,0.4,97.29030020420045,LR,full_data,78.5,117,0.07389435920691168,0.05100896933129628,875,1,1
4,exp,0.5,0.25,0.1,0.0,97.29030020420045,LR,full_data,78.5,27.5,0.09535170149570471,0.05100896933129628,2242,1,0
4,exp,0,1,0.1,0.0,97.29030020420045,LR,full_data,0,103,0.08575999239264598,0.05100896933129628,2268,1,0
4,exp,0.5,1,0.1,0.0,97.29030020420045,LR,full_data,63.5,104,0.06815471494197156,0.05100896933129628,2246,1,0
4,exp,0.5,0.25,0.05,0.0,97.29030020420045,LR,full_data,73.5,29.5,0.06710470794605583,0.05100896933129628,2271,0,0
4,exp,0,1,0.05,0.0,97.29030020420045,LR,full_data,0,111,0.07627652360948056,0.05100896933129628,2249,0,0
4,exp,0.5,1,0.05,0.0,97.29030020420045,LR,full_data,80.0,116,0.06392593643440214,0.05100896933129628,2220,0,0
4,exp,0.5,0.25,0.01,0.0,97.29030020420045,LR,full_data,78.5,30.0,0.08668499222056614,0.05100896933129628,2247,0,0
4,exp,0,1,0.01,0.0,97.29030020420045,LR,full_data,0,113,0.07422614136714067,0.05100896933129628,2237,0,0
4,exp,0.5,1,0.01,0.0,97.29030020420045,LR,full_data,73.5,120,0.09557218022693936,0.05100896933129628,2244,0,0
5,exp,0.5,0.25,0.3,0.5,97.29030020420045,LR,full_data,77.5,28.0,0.08225322442102911,0.08220973782771536,389,1,1
5,exp,0,1,0.3,0.5,97.29030020420045,LR,full_data,0,105,0.10007881951245379,0.08220973782771536,386,1,1
5,exp,0.5,1,0.3,0.5,97.29030020420045,LR,full_data,75.5,110,0.09756375558842578,0.08220973782771536,390,1,1
5,exp,0.5,0.25,0.2,0.4,97.29030020420045,LR,full_data,72.5,27.5,0.08058259342879204,0.08220973782771536,866,1,1
5,exp,0,1,0.2,0.4,97.29030020420045,LR,full_data,0,108,0.08625243165806074,0.08220973782771536,890,1,1
5,exp,0.5,1,0.2,0.4,97.29030020420045,LR,full_data,80.0,120,0.09400002416861963,0.08220973782771536,882,1,1
5,exp,0.5,0.25,0.1,0.0,97.29030020420045,LR,full_data,79.0,27.5,0.10255479932542322,0.08220973782771536,2276,1,0
5,exp,0,1,0.1,0.0,97.29030020420045,LR,full_data,0,124,0.08107601933891218,0.08220973782771536,2255,1,0
5,exp,0.5,1,0.1,0.0,97.29030020420045,LR,full_data,76.5,119,0.09135274413565075,0.08220973782771536,2259,1,0
5,exp,0.5,0.25,0.05,0.0,97.29030020420045,LR,full_data,72.5,24.25,0.08800443844925887,0.08220973782771536,2232,0,0
5,exp,0,1,0.05,0.0,97.29030020420045,LR,full_data,0,108,0.07869651229134766,0.08220973782771536,2226,0,0
5,exp,0.5,1,0.05,0.0,97.29030020420045,LR,full_data,72.5,114,0.09924930540235077,0.08220973782771536,2256,0,0
5,exp,0.5,0.25,0.01,0.0,97.29030020420045,LR,full_data,70.5,27.25,0.09237746992716522,0.08220973782771536,2254,0,0
5,exp,0,1,0.01,0.0,97.29030020420045,LR,full_data,0,138,0.09291591723171067,0.08220973782771536,2249,0,0
5,exp,0.5,1,0.01,0.0,97.29030020420045,LR,full_data,83.5,118,0.09389213765270099,0.08220973782771536,2279,0,0
