run,algo_name,sample_cost_fixed,label_cost_fixed,eps,thresh,tau_prime,f_0,policy,sample_cost,label_cost,eo_diff_est,eo_diff_true,num_samples,true_fair,pred_fair
1,exp,0.5,0.25,0.3,0.5,97.29030020420045,LR,full_data,23.5,7.75,5.785736522349943,0.2319623971797885,407,1,0
1,exp,0,1,0.3,0.5,97.29030020420045,LR,full_data,0,22,5.492884022418492,0.2319623971797885,389,1,0
1,exp,0.5,1,0.3,0.5,97.29030020420045,LR,full_data,14.5,24,5.372064507273523,0.2319623971797885,387,1,0
1,exp,0.5,0.25,0.2,0.4,97.29030020420045,LR,full_data,15.5,5.0,5.3859115757931555,0.2319623971797885,893,1,0
1,exp,0,1,0.2,0.4,97.29030020420045,LR,full_data,0,31,6.00432320081784,0.2319623971797885,884,1,0
1,exp,0.5,1,0.2,0.4,97.29030020420045,LR,full_data,21.0,30,5.8084009515428505,0.2319623971797885,904,1,0
1,exp,0.5,0.25,0.1,0.0,97.29030020420045,LR,full_data,19.5,8.5,5.578814777686114,0.2319623971797885,2283,0,0
1,exp,0,1,0.1,0.0,97.29030020420045,LR,full_data,0,32,5.294383722158615,0.2319623971797885,2286,0,0
1,exp,0.5,1,0.1,0.0,97.29030020420045,LR,full_data,17.0,23,5.314841097844314,0.2319623971797885,2295,0,0
1,exp,0.5,0.25,0.05,0.0,97.29030020420045,LR,full_data,22.0,6.75,5.702984502424592,0.2319623971797885,2269,0,0
1,exp,0,1,0.05,0.0,97.29030020420045,LR,full_data,0,29,4.935274268834364,0.2319623971797885,2292,0,0
1,exp,0.5,1,0.05,0.0,97.29030020420045,LR,full_data,21.0,26,5.351040437143094,0.2319623971797885,2247,0,0
1,exp,0.5,0.25,0.01,0.0,97.29030020420045,LR,full_data,16.5,6.5,5.829754837391386,0.2319623971797885,2279,0,0
1,exp,0,1,0.01,0.0,97.29030020420045,LR,full_data,0,31,5.422768030627872,0.2319623971797885,2268,0,0
1,exp,0.5,1,0.01,0.0,97.29030020420045,LR,full_data,20.0,21,5.641814919786509,0.2319623971797885,2285,0,0
2,exp,0.5,0.25,0.3,0.5,97.29030020420045,LR,full_data,21.0,7.25,6.974458235055761,0.14897435897435907,416,1,0
2,exp,0,1,0.3,0.5,97.29030020420045,LR,full_data,0,26,7.7534204466839,0.14897435897435907,396,1,0
2,exp,0.5,1,0.3,0.5,97.29030020420045,LR,full_data,22.5,30,6.518627465795771,0.14897435897435907,397,1,0
2,exp,0.5,0.25,0.2,0.4,97.29030020420045,LR,full_data,23.5,7.25,7.129442842585556,0.14897435897435907,885,1,0
2,exp,0,1,0.2,0.4,97.29030020420045,LR,full_data,0,22,7.615051587992208,0.14897435897435907,894,1,0
2,exp,0.5,1,0.2,0.4,97.29030020420045,LR,full_data,22.0,30,8.023623692003293,0.14897435897435907,887,1,0
2,exp,0.5,0.25,0.1,0.0,97.29030020420045,LR,full_data,16.5,5.75,7.531246701240188,0.14897435897435907,2286,0,0
2,exp,0,1,0.1,0.0,97.29030020420045,LR,full_data,0,30,7.60781985025135,0.14897435897435907,2277,0,0
2,exp,0.5,1,0.1,0.0,97.29030020420045,LR,full_data,16.0,20,7.066287496084481,0.14897435897435907,2295,0,0
2,exp,0.5,0.25,0.05,0.0,97.29030020420045,LR,full_data,16.0,4.25,7.844210784509192,0.14897435897435907,2288,0,0
2,exp,0,1,0.05,0.0,97.29030020420045,LR,full_data,0,27,7.764874373116803,0.14897435897435907,2315,0,0
2,exp,0.5,1,0.05,0.0,97.29030020420045,LR,full_data,18.0,26,6.786284331925563,0.14897435897435907,2266,0,0
2,exp,0.5,0.25,0.01,0.0,97.29030020420045,LR,full_data,22.0,6.25,7.611145559696231,0.14897435897435907,2273,0,0
2,exp,0,1,0.01,0.0,97.29030020420045,LR,full_data,0,32,7.34400390837828,0.14897435897435907,2268,0,0
2,exp,0.5,1,0.01,0.0,97.29030020420045,LR,full_data,21.5,30,8.01902192732933,0.14897435897435907,2277,0,0
3,exp,0.5,0.25,0.3,0.5,97.29030020420045,LR,full_data,20.0,5.75,15.568966709223519,0.2968877597314218,392,1,0
3,exp,0,1,0.3,0.5,97.29030020420045,LR,full_data,0,31,13.516362409338692,0.2968877597314218,391,1,0
3,exp,0.5,1,0.3,0.5,97.29030020420045,LR,full_data,22.5,30,16.21827897465102,0.2968877597314218,387,1,0
3,exp,0.5,0.25,0.2,0.4,97.29030020420045,LR,full_data,16.0,6.75,14.58484583454968,0.2968877597314218,890,1,0
3,exp,0,1,0.2,0.4,97.29030020420045,LR,full_data,0,34,16.00192656166766,0.2968877597314218,911,1,0
