run,algo_name,sample_cost_fixed,label_cost_fixed,eps,thresh,tau_prime,f_0,policy,sample_cost,label_cost,eo_diff_est,eo_diff_true,num_samples,true_fair,pred_fair
1,exp,0.5,0.25,0.3,0.5,97.29030020420045,LR,full_data,28.5,8.0,0.5982527665716058,0.093380509829596,384,1,1
1,exp,0,1,0.3,0.5,97.29030020420045,LR,full_data,0,28,0.6200496562489936,0.093380509829596,388,1,1
1,exp,0.5,1,0.3,0.5,97.29030020420045,LR,full_data,34.5,36,0.6011712091067257,0.093380509829596,372,1,1
1,exp,0.5,0.25,0.2,0.4,97.29030020420045,LR,full_data,34.5,10.0,0.5785309640387054,0.093380509829596,877,1,0
1,exp,0,1,0.2,0.4,97.29030020420045,LR,full_data,0,26,0.6067209383025287,0.093380509829596,889,1,0
1,exp,0.5,1,0.2,0.4,97.29030020420045,LR,full_data,32.0,39,0.5802611856798132,0.093380509829596,893,1,0
1,exp,0.5,0.25,0.1,0.0,97.29030020420045,LR,full_data,28.0,8.5,0.6083401755552658,0.093380509829596,2262,1,0
1,exp,0,1,0.1,0.0,97.29030020420045,LR,full_data,0,41,0.5717836457304303,0.093380509829596,2206,1,0
1,exp,0.5,1,0.1,0.0,97.29030020420045,LR,full_data,33.0,40,0.6009195916223711,0.093380509829596,2219,1,0
1,exp,0.5,0.25,0.05,0.0,97.29030020420045,LR,full_data,34.0,10.0,0.5876353981681627,0.093380509829596,2258,0,0
1,exp,0,1,0.05,0.0,97.29030020420045,LR,full_data,0,39,0.6433657866551072,0.093380509829596,2247,0,0
1,exp,0.5,1,0.05,0.0,97.29030020420045,LR,full_data,30.0,38,0.6190431625114494,0.093380509829596,2235,0,0
1,exp,0.5,0.25,0.01,0.0,97.29030020420045,LR,full_data,30.0,8.5,0.5981844958249445,0.093380509829596,2273,0,0
1,exp,0,1,0.01,0.0,97.29030020420045,LR,full_data,0,36,0.5953267342199489,0.093380509829596,2247,0,0
1,exp,0.5,1,0.01,0.0,97.29030020420045,LR,full_data,29.5,35,0.587322765751377,0.093380509829596,2268,0,0
2,exp,0.5,0.25,0.3,0.5,97.29030020420045,LR,full_data,35.5,10.25,50.617683630058316,0.030828082808280824,390,1,0
2,exp,0,1,0.3,0.5,97.29030020420045,LR,full_data,0,37,66.83518191220902,0.030828082808280824,395,1,0
2,exp,0.5,1,0.3,0.5,97.29030020420045,LR,full_data,30.5,33,50.35294631328075,0.030828082808280824,382,1,0
2,exp,0.5,0.25,0.2,0.4,97.29030020420045,LR,full_data,35.0,10.0,44.94573192983776,0.030828082808280824,891,1,0
2,exp,0,1,0.2,0.4,97.29030020420045,LR,full_data,0,30,61.39220319378211,0.030828082808280824,889,1,0
2,exp,0.5,1,0.2,0.4,97.29030020420045,LR,full_data,31.0,42,52.826677574004535,0.030828082808280824,866,1,0
2,exp,0.5,0.25,0.1,0.0,97.29030020420045,LR,full_data,39.5,12.0,41.709123169077714,0.030828082808280824,2238,1,0
2,exp,0,1,0.1,0.0,97.29030020420045,LR,full_data,0,41,49.38450731913319,0.030828082808280824,2272,1,0
2,exp,0.5,1,0.1,0.0,97.29030020420045,LR,full_data,26.0,35,44.327678752944294,0.030828082808280824,2230,1,0
2,exp,0.5,0.25,0.05,0.0,97.29030020420045,LR,full_data,32.0,10.5,67.15626526507442,0.030828082808280824,2262,1,0
2,exp,0,1,0.05,0.0,97.29030020420045,LR,full_data,0,40,35.15650977866771,0.030828082808280824,2223,1,0
2,exp,0.5,1,0.05,0.0,97.29030020420045,LR,full_data,34.0,43,61.960140430358706,0.030828082808280824,2250,1,0
2,exp,0.5,0.25,0.01,0.0,97.29030020420045,LR,full_data,34.5,10.5,61.79214564019963,0.030828082808280824,2254,0,0
2,exp,0,1,0.01,0.0,97.29030020420045,LR,full_data,0,45,54.89046845560945,0.030828082808280824,2252,0,0
2,exp,0.5,1,0.01,0.0,97.29030020420045,LR,full_data,27.0,29,46.87880812886095,0.030828082808280824,2240,0,0
3,exp,0.5,0.25,0.3,0.5,97.29030020420045,LR,full_data,26.0,7.5,0.1749481082579448,0.0724224225518153,379,1,1
3,exp,0,1,0.3,0.5,97.29030020420045,LR,full_data,0,26,0.13029865620893077,0.0724224225518153,399,1,1
3,exp,0.5,1,0.3,0.5,97.29030020420045,LR,full_data,30.0,35,0.10062629465596645,0.0724224225518153,391,1,1
3,exp,0.5,0.25,0.2,0.4,97.29030020420045,LR,full_data,29.5,8.25,0.06652254533170732,0.0724224225518153,879,1,1
3,exp,0,1,0.2,0.4,97.29030020420045,LR,full_data,0,29,0.06348706435033058,0.0724224225518153,866,1,1
3,exp,0.5,1,0.2,0.4,97.29030020420045,LR,full_data,27.0,27,0.1482041586721849,0.0724224225518153,890,1,1
