run,algo_name,sample_cost_fixed,label_cost_fixed,eps,tau_prime,f_0,policy,sample_cost,label_cost,eo_diff_est,eo_diff_true,num_samples,true_fair,pred_fair
1,two,0.5,0.25,0.8,24.322575051050112,LR,full_data,499.0,148.25,0.19261681664935904,0.22209828157974065,593,1,1
2,two,0.5,0.25,0.8,24.322575051050112,LR,full_data,497.5,120.5,0.2708571860911888,0.26758167928411014,482,1,1
3,two,0.5,0.25,0.8,24.322575051050112,LR,full_data,497.0,123.75,0.2278182330423259,0.22504509569658204,495,1,1
4,two,0.5,0.25,0.8,24.322575051050112,LR,full_data,499.0,95.75,0.33570732445634677,0.2705777391747663,383,1,1
5,two,0.5,0.25,0.8,24.322575051050112,LR,full_data,497.0,112.75,0.21867381728626972,0.2564058155824013,451,1,1
