run,algo_name,sample_cost_fixed,label_cost_fixed,eps,tau_prime,f_0,policy,sample_cost,label_cost,eo_diff_est,eo_diff_true,num_samples,true_fair,pred_fair
1,two,0.5,0.25,0.8,24.322575051050112,LR,full_data,500.0,114.0,0.23830329075701273,0.22209828157974065,456,1,1
2,two,0.5,0.25,0.8,24.322575051050112,LR,full_data,499.0,117.75,0.18884314386090995,0.2499180767397522,471,1,1
3,two,0.5,0.25,0.8,24.322575051050112,LR,full_data,498.5,147.5,0.2268493009958099,0.2567921311959223,590,1,1
4,two,0.5,0.25,0.8,24.322575051050112,LR,full_data,498.0,128.5,0.2287810017956184,0.29119496855345905,514,1,1
5,two,0.5,0.25,0.8,24.322575051050112,LR,full_data,499.5,98.5,0.21002341550745734,0.2604979644746313,394,1,1
