run,algo_name,sample_cost_fixed,label_cost_fixed,eps,tau_prime,f_0,policy,sample_cost,label_cost,eo_diff_est,eo_diff_true,num_samples,true_fair,pred_fair
1,two,0.5,0.25,0.8,24.322575051050112,LR,full_data,467.0,100.75,0.07501913419536033,0.1586976183298161,410,1,1
2,two,0.5,0.25,0.8,24.322575051050112,LR,full_data,466.0,94.0,0.5200141300596739,0.1805460615455977,380,1,0
3,two,0.5,0.25,0.8,24.322575051050112,LR,full_data,470.0,120.0,0.23537465760297172,0.20456870978809716,492,1,1
4,two,0.5,0.25,0.8,24.322575051050112,LR,full_data,462.5,92.5,0.44782706922745974,0.18239088706378426,376,1,0
