run,algo_name,sample_cost_fixed,label_cost_fixed,eps,tau_prime,f_0,policy,sample_cost,label_cost,eo_diff_est,eo_diff_true,num_samples,true_fair,pred_fair
1,two,0.5,0.25,0.8,24.322575051050112,LR,full_data,484.0,121.25,0.2624735116044732,0.2167319867350015,488,1,1
2,two,0.5,0.25,0.8,24.322575051050112,LR,full_data,481.0,96.25,0.1607799534792949,0.21961949511700757,386,1,1
3,two,0.5,0.25,0.8,24.322575051050112,LR,full_data,480.5,93.0,0.2409545955452993,0.2660344780416035,376,1,1
4,two,0.5,0.25,0.8,24.322575051050112,LR,full_data,484.5,119.5,0.2775741713105564,0.21725540070934685,481,1,1
5,two,0.5,0.25,0.8,24.322575051050112,LR,full_data,480.5,97.5,0.21368390727128855,0.20069599690005663,394,1,1
