run,algo_name,sample_cost_fixed,label_cost_fixed,eps,tau_prime,f_0,policy,sample_cost,label_cost,eo_diff_est,eo_diff_true,num_samples,true_fair,pred_fair
1,two,0.5,0.25,0.8,24.322575051050112,LR,full_data,492.5,101.5,0.29425301042123964,0.17184202592704248,407,1,1
2,two,0.5,0.25,0.8,24.322575051050112,LR,full_data,498.5,138.0,0.52475408718828,0.22908968341156496,553,1,0
3,two,0.5,0.25,0.8,24.322575051050112,LR,full_data,498.5,166.25,0.15224535235893638,0.19064223907307978,666,1,1
4,two,0.5,0.25,0.8,24.322575051050112,LR,full_data,496.0,91.25,0.4222657139885533,0.18381599042094773,365,1,0
5,two,0.5,0.25,0.8,24.322575051050112,LR,full_data,496.5,103.5,0.3584086504328452,0.16533685901274833,415,1,1
