run,algo_name,sample_cost_fixed,label_cost_fixed,eps,tau_prime,f_0,policy,sample_cost,label_cost,eo_diff_est,eo_diff_true,num_samples,true_fair,pred_fair
1,exp,0.5,0.25,0.8,97.29030020420045,LR,full_data,970.0,440.75,0.6996893354117928,0.1586976183298161,410,1,0
2,exp,0.5,0.25,0.8,97.29030020420045,LR,full_data,983.5,445.75,0.8661838592092299,0.1805460615455977,380,1,0
3,exp,0.5,0.25,0.8,97.29030020420045,LR,full_data,898.0,400.75,1.0842099227378603,0.20456870978809716,492,1,0
4,exp,0.5,0.25,0.8,97.29030020420045,LR,full_data,968.5,436.5,0.6350658881910953,0.18239088706378426,376,1,0
