run,algo_name,sample_cost_fixed,label_cost_fixed,eps,tau_prime,f_0,policy,sample_cost,label_cost,eo_diff_est,eo_diff_true,num_samples,true_fair,pred_fair
1,exp,0.5,0.25,0.8,97.29030020420045,LR,full_data,1053.0,467.25,35.665190242037745,0.22209828157974065,593,1,0
2,exp,0.5,0.25,0.8,97.29030020420045,LR,full_data,984.5,437.0,1.7105180084148004,0.26758167928411014,482,1,0
3,exp,0.5,0.25,0.8,97.29030020420045,LR,full_data,1064.0,475.75,1.624640989680986,0.22504509569658204,495,1,0
4,exp,0.5,0.25,0.8,97.29030020420045,LR,full_data,911.0,398.25,0.20109523239755028,0.2705777391747663,383,1,1
5,exp,0.5,0.25,0.8,97.29030020420045,LR,full_data,982.5,436.0,1.1709240351710073,0.2564058155824013,451,1,0
