run,algo_name,sample_cost_fixed,label_cost_fixed,eps,tau_prime,f_0,policy,sample_cost,label_cost,eo_diff_est,eo_diff_true,num_samples,true_fair,pred_fair
1,exp,0.5,0.25,0.8,97.29030020420045,LR,full_data,953.5,420.5,0.6639349676072019,0.22209828157974065,456,1,0
2,exp,0.5,0.25,0.8,97.29030020420045,LR,full_data,918.5,400.75,0.2914269660417579,0.2499180767397522,471,1,1
3,exp,0.5,0.25,0.8,97.29030020420045,LR,full_data,1004.5,444.25,0.7390320345690738,0.2567921311959223,590,1,0
4,exp,0.5,0.25,0.8,97.29030020420045,LR,full_data,1035.5,458.75,1.8127512306901934,0.29119496855345905,514,1,0
5,exp,0.5,0.25,0.8,97.29030020420045,LR,full_data,1063.0,475.75,1.7358509845838586,0.2604979644746313,394,1,0
