run,algo_name,sample_cost_fixed,label_cost_fixed,eps,tau_prime,f_0,policy,sample_cost,label_cost,eo_diff_est,eo_diff_true,num_samples,true_fair,pred_fair
1,exp,0.5,0.25,0.8,97.29030020420045,LR,full_data,1007.5,451.0,0.47002623199678706,0.2167319867350015,488,1,0
2,exp,0.5,0.25,0.8,97.29030020420045,LR,full_data,1057.5,476.0,0.3448243375149553,0.21961949511700757,386,1,1
3,exp,0.5,0.25,0.8,97.29030020420045,LR,full_data,1016.5,456.25,0.43251174081834953,0.2660344780416035,376,1,0
4,exp,0.5,0.25,0.8,97.29030020420045,LR,full_data,941.0,421.0,0.8696049130026465,0.21725540070934685,481,1,0
5,exp,0.5,0.25,0.8,97.29030020420045,LR,full_data,958.0,430.5,0.2905851763947612,0.20069599690005663,394,1,1
