run,algo_name,sample_cost_fixed,label_cost_fixed,eps,tau_prime,f_0,policy,sample_cost,label_cost,eo_diff_est,eo_diff_true,num_samples,true_fair,pred_fair
1,exp,0.5,0.25,0.8,97.29030020420045,LR,full_data,1063.5,474.0,1.6690108901407483,0.17184202592704248,407,1,0
2,exp,0.5,0.25,0.8,97.29030020420045,LR,full_data,1074.0,478.0,1.4987195028743985,0.22908968341156496,553,1,0
3,exp,0.5,0.25,0.8,97.29030020420045,LR,full_data,999.0,443.5,0.5889965418883164,0.19064223907307978,666,1,0
4,exp,0.5,0.25,0.8,97.29030020420045,LR,full_data,1069.5,479.75,2.26810732588968,0.18381599042094773,365,1,0
5,exp,0.5,0.25,0.8,97.29030020420045,LR,full_data,1115.0,499.75,0.8272461894569361,0.16533685901274833,415,1,0
