run,algo_name,sample_cost_fixed,label_cost_fixed,eps,tau_prime,f_0,policy,sample_cost,label_cost,eo_diff_est,eo_diff_true,num_samples,true_fair,pred_fair
3,exp,0,1,0.1,97.29030020420045,LR,full_data,0,1836,0.7893719968564685,0.40803562355071465,18296,1,0
3,exp,0.5,1,0.1,97.29030020420045,LR,full_data,928.5,1744,0.3122792988687755,0.40803562355071465,18696,1,1
3,exp,0.5,0.25,0.1,97.29030020420045,LR,full_data,930.0,437.75,0.618212705138379,0.40803562355071465,19147,0,0
3,exp,0,1,0.1,97.29030020420045,LR,full_data,0,1767,0.6082375907748598,0.40803562355071465,18225,0,0
3,exp,0.5,1,0.1,97.29030020420045,LR,full_data,1063.5,2014,0.7348176417807712,0.40803562355071465,18968,0,0
3,exp,0.5,0.25,0.05,97.29030020420045,LR,full_data,824.5,387.75,0.31281345986511533,0.40803562355071465,18320,0,0
3,exp,0,1,0.05,97.29030020420045,LR,full_data,0,1885,0.5660515818793987,0.40803562355071465,18461,0,0
3,exp,0.5,1,0.05,97.29030020420045,LR,full_data,975.0,1851,0.41894638205797774,0.40803562355071465,18776,0,0
3,exp,0.5,0.25,0.01,97.29030020420045,LR,full_data,988.0,469.5,0.30826015349715385,0.40803562355071465,18223,0,0
3,exp,0,1,0.01,97.29030020420045,LR,full_data,0,1741,0.4681387197548903,0.40803562355071465,18684,0,0
3,exp,0.5,1,0.01,97.29030020420045,LR,full_data,928.5,1757,0.6458196874344126,0.40803562355071465,19247,0,0
4,exp,0.5,0.25,0.25,97.29030020420045,LR,full_data,933.5,440.5,0.33469181005713633,0.3579323787160244,4642,1,1
4,exp,0,1,0.25,97.29030020420045,LR,full_data,0,1833,0.3425923061072613,0.3579323787160244,4723,1,1
4,exp,0.5,1,0.25,97.29030020420045,LR,full_data,849.5,1596,0.33486936190350314,0.3579323787160244,4678,1,1
4,exp,0.5,0.25,0.1,97.29030020420045,LR,full_data,978.5,466.25,0.37001439131486324,0.3579323787160244,18878,1,1
4,exp,0,1,0.1,97.29030020420045,LR,full_data,0,1933,0.33248347309899084,0.3579323787160244,18736,1,1
4,exp,0.5,1,0.1,97.29030020420045,LR,full_data,881.5,1663,0.33455082083048077,0.3579323787160244,18287,1,1
4,exp,0.5,0.25,0.1,97.29030020420045,LR,full_data,993.5,473.0,0.33245593232912674,0.3579323787160244,19062,0,0
4,exp,0,1,0.1,97.29030020420045,LR,full_data,0,2070,0.33240366764113183,0.3579323787160244,18410,0,0
4,exp,0.5,1,0.1,97.29030020420045,LR,full_data,909.0,1697,0.33281903517041034,0.3579323787160244,18968,0,0
4,exp,0.5,0.25,0.05,97.29030020420045,LR,full_data,893.5,419.25,0.33326455170790914,0.3579323787160244,18322,0,0
4,exp,0,1,0.05,97.29030020420045,LR,full_data,0,1737,0.33684992884409903,0.3579323787160244,18883,0,0
4,exp,0.5,1,0.05,97.29030020420045,LR,full_data,866.0,1635,0.33308985525234397,0.3579323787160244,19062,0,0
4,exp,0.5,0.25,0.01,97.29030020420045,LR,full_data,939.5,448.0,0.4216498348667319,0.3579323787160244,19022,0,0
4,exp,0,1,0.01,97.29030020420045,LR,full_data,0,1839,0.33576558154002,0.3579323787160244,18446,0,0
4,exp,0.5,1,0.01,97.29030020420045,LR,full_data,740.0,1382,0.3331361705522942,0.3579323787160244,18940,0,0
5,exp,0.5,0.25,0.25,97.29030020420045,LR,full_data,930.5,439.25,0.32215749928015613,0.3735910404624277,4540,1,1
5,exp,0,1,0.25,97.29030020420045,LR,full_data,0,1703,0.31986001747578297,0.3735910404624277,4447,1,1
5,exp,0.5,1,0.25,97.29030020420045,LR,full_data,902.5,1706,0.3169627268646008,0.3735910404624277,4485,1,1
5,exp,0.5,0.25,0.1,97.29030020420045,LR,full_data,838.0,394.75,0.31755896349601787,0.3735910404624277,18745,1,1
5,exp,0,1,0.1,97.29030020420045,LR,full_data,0,1704,0.3162753850173744,0.3735910404624277,18865,1,1
5,exp,0.5,1,0.1,97.29030020420045,LR,full_data,966.0,1824,0.6502759854465845,0.3735910404624277,18106,1,0
5,exp,0.5,0.25,0.1,97.29030020420045,LR,full_data,902.0,427.25,0.3199967008111219,0.3735910404624277,18762,0,0
5,exp,0,1,0.1,97.29030020420045,LR,full_data,0,1638,0.4646113640027707,0.3735910404624277,18542,0,0
5,exp,0.5,1,0.1,97.29030020420045,LR,full_data,906.5,1719,0.32249186491649573,0.3735910404624277,18066,0,0
5,exp,0.5,0.25,0.05,97.29030020420045,LR,full_data,933.0,440.75,0.318798012002082,0.3735910404624277,18702,0,0
5,exp,0,1,0.05,97.29030020420045,LR,full_data,0,1730,0.4303431525118313,0.3735910404624277,18689,0,0
5,exp,0.5,1,0.05,97.29030020420045,LR,full_data,1009.5,1908,0.31939365520197593,0.3735910404624277,18596,0,0
5,exp,0.5,0.25,0.01,97.29030020420045,LR,full_data,921.5,437.5,0.3192625289653176,0.3735910404624277,18073,0,0
5,exp,0,1,0.01,97.29030020420045,LR,full_data,0,1666,0.3198392458532312,0.3735910404624277,18545,0,0
5,exp,0.5,1,0.01,97.29030020420045,LR,full_data,912.0,1727,0.32061336237829874,0.3735910404624277,18711,0,0
